year,iso,country,election,green_code1,green_1,green_1n,green_code2,green_2,green_2n,left_code,left_1,left_1n,social_code,social_1,social_1n,social_code2,social_2,social_2n,right_code,right_1,right_1n,right_code2,right_2,right_2n
1997,,Bulgaria,19/04/1997,green1,,,,,,,,,social2,Bulgarian Socialist Party,"Bulgarska 
sotsialisticheska partiya",,,,relig1,"United Democratic 
Forces","Obedineni Demokratični 
Sili",,,
2001,,Bulgaria,17/06/2001,green1,,,,,,,,,leftsoc1,Bulgarian Socialist Party,"Bulgarska 
sotsialisticheska partiya",,,,relig1,"United Democratic 
Forces","Obedineni Demokratični 
Sili",,,
2005,,Bulgaria,25/06/2005,green1,,,,,,,,,leftsoc1,Bulgarian Socialist Party,"Bulgarska 
sotsialisticheska partiya",,,,relig1,"United Democratic 
Forces","Obedineni Demokratični 
Sili",,,
2009,,Bulgaria,05/07/2009,green1,The Greens,Zelenite,,,,,,,leftsoc1,Bulgarian Socialist Party,"Bulgarska 
sotsialisticheska partiya",,,,conserv1,"Citizens for the European 
Development of Bulgaria","Graždani za evropejsko 
razvitie na Bǎlgarija",,,
2013,,Bulgaria,12/05/2013,green1,The Greens,Zelenite,,,,,,,leftsoc1,Bulgarian Socialist Party,"Bulgarska 
sotsialisticheska partiya",,,,conserv1,"Citizens for the European 
Development of Bulgaria","Graždani za evropejsko 
razvitie na Bǎlgarija",,,
2014,,Bulgaria,05/10/2014,green1,The Greens,Zelenite,,,,,,,leftsoc1,Bulgarian Socialist Party,"Bulgarska 
sotsialisticheska partiya",,,,conserv1,"Citizens for the European 
Development of Bulgaria","Graždani za evropejsko 
razvitie na Bǎlgarija",,,
2017,,Bulgaria,26/03/2017,green1,The Greens,Zelenite,,,,,,,leftsoc1,Bulgarian Socialist Party,"Bulgarska 
sotsialisticheska partiya",,,,conserv1,"Citizens for the European 
Development of Bulgaria","Graždani za evropejsko 
razvitie na Bǎlgarija",,,
2021,,Bulgaria,14/11/2021,green1,Green Movement,Zeleno dvizhenie,,,,,,,leftsoc2,Bulgarian Socialist Party,"Bulgarska 
sotsialisticheska partiya",,,,conserv6,"Citizens for the European 
Development of Bulgaria","Graždani za evropejsko 
razvitie na Bǎlgarija",,,
2022,,Bulgaria,02/10/2022,green1,Green Movement,Zeleno dvizhenie,,,,,,,leftsoc2,Bulgarian Socialist Party,"Bulgarska 
sotsialisticheska partiya",,,,conserv6,"Citizens for the European 
Development of Bulgaria","Graždani za evropejsko 
razvitie na Bǎlgarija",,,
1992,,Croatia,02/08/1992,green1,,,,,,,,,social1,"Social Democratic Party 
of Croatia","Socijaldemokratska 
partija Hrvatske",,,,relig1,Croatian Democratic Union,Hrvatska demokratska zajednica,,,
1995,,Croatia,29/10/1995,green1,,,,,,,,,social1,"Social Democratic Party 
of Croatia","Socijaldemokratska 
partija Hrvatske",,,,relig1,Croatian Democratic Union,Hrvatska demokratska zajednica,,,
2000,,Croatia,03/01/2000,green1,,,,,,,,,allia1,"Social Democratic Party 
of Croatia","Socijaldemokratska 
partija Hrvatske",,,,relig1,Croatian Democratic Union,Hrvatska demokratska zajednica,,,
2003,,Croatia,23/11/2003,green1,,,,,,,,,social1,"Social Democratic Party 
of Croatia","Socijaldemokratska 
partija Hrvatske",,,,relig1,Croatian Democratic Union,Hrvatska demokratska zajednica,,,
2007,,Croatia,25/11/2007,green1,,,,,,,,,social1,"Social Democratic Party 
of Croatia","Socijaldemokratska 
partija Hrvatske",,,,relig1,Croatian Democratic Union,Hrvatska demokratska zajednica,,,
2011,,Croatia,04/12/2011,green1,,,,,,leftsoc1,Croatian Laborists Labor Party,"Hrvatski Laburisti - Stranka Rada, HL-SR",social1,People’s Coalition,Narodna koalicija,,,,relig1,Croatian Democratic Union,Hrvatska demokratska zajednica,,,
2015,,Croatia,08/11/2015,green1,,,,,,leftsoc1,Croatian Laborists Labor Party,"Hrvatski Laburisti - Stranka Rada, HL-SR",social1,Croatia is Growing,Hrvatska raste,,,,relig1,Croatian Democratic Union,Hrvatska demokratska zajednica,,,
2016,,Croatia,11/09/2016,green1,,,,,,leftsoc1,Croatian Laborists Labor Party,"Hrvatski Laburisti - Stranka Rada, HL-SR",social1,People’s Coalition,Narodna koalicija,,,,relig1,Croatian Democratic Union,Hrvatska demokratska zajednica,,,
2020,,Croatia,05/07/2020,leftsoc3,Alliance between We Can!,Mozemo!,,,,leftsoc1,Croatian Laborists Labor Party,"Hrvatski Laburisti - Stranka Rada, HL-SR",social1,Restart Coalition,Rijeke pravde,,,,relig1,Croatian Democratic Union,Hrvatska demokratska zajednica,,,
1996,,Czech Republic,01/06/1996,green1,Green Party,Strana Zelených,,,,comm2,Communist Party of Bohemia and Moravia,Komunistická strana Cech a Moravy,social1,Czech Social Democratic Party,Česká strana sociálně demokratická,,,,conserv1,Civic Democratic Party,Obcanska Demokraticka Strana,,,
1998,,Czech Republic,20/06/1998,green1,Green Party,Strana Zelených,,,,comm2,Communist Party of Bohemia and Moravia,Komunistická strana Cech a Moravy,social1,Czech Social Democratic Party,Česká strana sociálně demokratická,,,,conserv1,Civic Democratic Party,Obcanska Demokraticka Strana,,,
2002,,Czech Republic,15/06/2002,green1,Green Party,Strana Zelených,,,,comm2,Communist Party of Bohemia and Moravia,Komunistická strana Cech a Moravy,social1,Czech Social Democratic Party,Česká strana sociálně demokratická,,,,conserv1,Civic Democratic Party,Obcanska Demokraticka Strana,,,
2006,,Czech Republic,02/06/2006,green1,Green Party,Strana Zelených,,,,comm2,Communist Party of Bohemia and Moravia,Komunistická strana Cech a Moravy,social1,Czech Social Democratic Party,Česká strana sociálně demokratická,,,,conserv1,Civic Democratic Party,Obcanska Demokraticka Strana,,,
2010,,Czech Republic,29/05/2010,green1,Green Party,Strana Zelených,,,,comm2,Communist Party of Bohemia and Moravia,Komunistická strana Cech a Moravy,social1,Czech Social Democratic Party,Česká strana sociálně demokratická,,,,conserv1,Civic Democratic Party,Obcanska Demokraticka Strana,,,
2013,,Czech Republic,26/10/2013,green1,Green Party,Strana Zelených,,,,comm2,Communist Party of Bohemia and Moravia,Komunistická strana Cech a Moravy,social1,Czech Social Democratic Party,Česká strana sociálně demokratická,,,,conserv1,Civic Democratic Party,Obcanska Demokraticka Strana,,,
2017,,Czech Republic,21/10/2017,green1,Green Party,Strana Zelených,,,,comm2,Communist Party of Bohemia and Moravia,Komunistická strana Cech a Moravy,social1,Czech Social Democratic Party,Česká strana sociálně demokratická,,,,conserv1,Civic Democratic Party,Obcanska Demokraticka Strana,,,
2021,,Czech Republic,09/10/2021,green1,Green Party,Strana Zelených,,,,comm2,Communist Party of Bohemia and Moravia,Komunistická strana Cech a Moravy,social1,Czech Social Democratic Party,Česká strana sociálně demokratická,,,,allia2,SPOLU Alliance,,,,
1990,DK,Denmark,12/12/1990,leftsoc1,Socialist Peoples Party,Socialistisk Folkeparti,,,,leftsoc3,"Unity List – 
 Red Green 
Alliance","Enhedslisten – De 
Rød-Grønne",social1,Social Democracy,Socialdemokratiet,,,,liberal2,"Left, Liberal Party of Denmark","Venstre, Danmarks Liberale Parti",,,
1994,DK,Denmark,21/09/1994,leftsoc1,Socialist Peoples Party,Socialistisk Folkeparti,,,,leftsoc3,leftsoc1,"Enhedslisten – De 
Rød-Grønne",social1,Social Democracy,Socialdemokratiet,,,,liberal2,"Left, Liberal Party of Denmark","Venstre, Danmarks Liberale Parti",,,
1998,DK,Denmark,11/03/1998,leftsoc1,Socialist Peoples Party,Socialistisk Folkeparti,,,,leftsoc3,leftsoc1,"Enhedslisten – De 
Rød-Grønne",social1,Social Democracy,Socialdemokratiet,,,,liberal2,"Left, Liberal Party of Denmark","Venstre, Danmarks Liberale Parti",,,
2001,DK,Denmark,20/11/2001,leftsoc1,Socialist Peoples Party,Socialistisk Folkeparti,,,,leftsoc3,leftsoc1,"Enhedslisten – De 
Rød-Grønne",social1,Social Democracy,Socialdemokratiet,,,,liberal2,"Left, Liberal Party of Denmark","Venstre, Danmarks Liberale Parti",,,
